,Random Forest,Gradient Boosting,XGBoost
worst radius,0.09063889139731521,0.2772971671089712,0.38922828
worst perimeter,0.13310023764997225,0.13171014761252087,0.2619047
worst concave points,0.10810734174768957,0.3024614323755485,0.06560948
mean concave points,0.09441439125880831,0.13641056327538964,0.05838513
worst area,0.12805191271303082,0.0437575355244807,0.016518926
worst texture,0.017869409154311344,0.029092787258758055,0.019841453
mean area,0.04993761882368043,0.0012280386910499695,0.014857009
texture error,0.005440575684338219,0.01662475654460503,0.042151842
area error,0.03436764533032062,0.016656002049466167,0.009307664
mean radius,0.05866225824281181,0.0,0.0
mean perimeter,0.05524182553576135,0.00030848393780841623,0.0
mean concavity,0.046206958685895416,0.004382991855868673,0.0043377858
worst concavity,0.035357137857065034,0.0012143029426985726,0.011550571
worst compactness,0.014481404082817341,0.0030783664895376464,0.015857847
mean texture,0.014316720485671626,0.006274807733118169,0.010981433
